SiteName,Municipality,ProgramCategory,EnforcementTypeDescription,IssuedDate,DocumentNumber,PenaltyCashAssessed,Comment
,,GEN-SW,Notice Of Non-Compliance,3/9/20,,0,VIOLATION OCCURED AT AUBURN TRANSFER STATION. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,3/9/20,,0,VIOLATION OCCURED AT AUBURN TRANSFER STATION CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,3/9/20,,0,VIOLATION OCCURED AT AUBURN TRANSFER STATION. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,3/9/20,,0,VIOLATION OCCURED AT EL HARVEY IN WESTBORO CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,3/9/20,,0,VIOLATION OCCURED AT EL HARVEY IN WESTBORO CARDBOARD AND COMMERCIAL ORGANIC MATERIAL FOOD WASTE
,,GEN-SW,Notice Of Non-Compliance,3/3/20,,0,CARDBOARD OBS AT COVANTA HAVERHILL 2/14/2020
,,GEN-SW,Notice Of Non-Compliance,3/3/20,,0,PAPER OBSERVED AT COVANTA HAVERHILL 2/14/2020. LOAD ORIGINATED FROM VIP SERVICE AT 2179 LAYFAYETTE RD PORTSMOUTH NH
,,GEN-SW,Notice Of Non-Compliance,2/27/20,,0,CARDBOARD OBS BRAINTREE TS ON 2/6/2020 FROM 75 COMMERCE WAY DEDHAM MA
,,GEN-SW,Notice Of Non-Compliance,2/27/20,,0,CARDBOARD OBS AT BRAINTREE TS 2/6/2020
,,GEN-SW,Notice Of Non-Compliance,2/27/20,,0,"CARDBOARD AND AC UNIT OBS AT BRAINTREE TS 2/6/2020. LOAD ORIGINATED FROM 800 WEST ST BRAINTREE, MA"
,,GEN-SW,Notice Of Non-Compliance,2/24/20,,0,"CARDBOARD OBS AT BRAINTREE TS 2/6/2020 LOAD ORIGINATED FROM 30 FORBES RD BRAINTREE, MA"
,,GEN-SW,Notice Of Non-Compliance,2/24/20,,0,CARDBOARD AND WHITE GOOD OBS AT BRAINTREE TS 2/6/2020
,,GEN-SW,Notice Of Non-Compliance,2/24/20,,0,CARDBOARD AND CRT OBS AT BRAINTREE TS 2/6/2020
,,GEN-SW,"Administrative Consent Order, With Penalty",2/21/20,,946,WASTE BAN HLE FOR CARDBOARD OBS. SAUGUS WTE 12/5/2019.
,,GEN-SW,Notice Of Non-Compliance,2/21/20,,0,PAPER AND CARDBOARD OBS AT WHEELABRATOR SAUGUS 1/21/20
,,GEN-SW,"Administrative Consent Order, With Penalty",2/20/20,,860,FROM MULTIPLE WASTE BAN VIOLATIONS IN 2018.
,,GEN-SW,Notice Of Non-Compliance,2/20/20,,0,OBSERVED WASTE BAN VIOLATIONS AT AUBURN TRANSFER STATION ON 12/18/2019. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,2/19/20,,0,"CARDBOARD, ORIGNATING FROM 97 LIBBEY INDUSTRIAL PKWAY WEYMOUTH, BRAINTREE TS 1/3/20"
,,GEN-SW,Notice Of Non-Compliance,2/18/20,,0,1/24/2020 OBSERVED RECYCLABLE PAPER (CARDBOARD) AT HOWARD TRANSFER STATION
,,HAULER,Notice Of Non-Compliance,9/25/18,,0,WASTE BAN NON FOR WOOD AND CARDBOARD IN A LOAD DELIVERED TO THE CRAPO HILL LF ON 9/4/2018
,,HAULER,Notice Of Non-Compliance,5/7/20,,0,WASTE BAN NON - HAULER
,,GEN-SW,"Administrative Consent Order, With Penalty",2/12/20,,1000,WASTE BAN VIOLOATION FOR RECYCLABLE PAPER (CARDBOARD) AT SAUGUS 12/5/2019
,,HAULER,Notice Of Non-Compliance,7/6/20,,0,VIDEO OF ABC COMBINING TRASH AND RECYCLING ON A RESIDENTIAL STREET IN ROCHESTER MA RTC AUG 2020
,,GEN-SW,Notice Of Non-Compliance,2/11/20,,0,CARDBOARD OBS AT WHEELEBRATOR SAUGUS 1/21/2020
,,GEN-SW,Notice Of Non-Compliance,2/11/20,,0,CARDBOARD OBS AT WHEELABRATOR SAUGUS 1/21/20
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATION OCCURED AT HOLLISTON TRANSFER STATION ON 12/20/2019. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATION OCCURED AT THE HOLLISTON TRANSFER STATION ON 12/20/2019. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATION OCCURED AT THE HOLLISTON TRANSFER STATION ON 12/20/2019. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATION OCCURED AT HOLLISTON TRANSFER STATION ON 12/20/2019. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATION OBSERVED AT EL HARVEY TRANSFER STATION ON 01/08/2020. CARDBOARD AND MIXED PAPER
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATION OBSERVED AT EL HARVEY & SONS TRANSFER STATION ON 01/08/2020. CARDBOARD
